token,ent,sent
Now,0,0
to,0,0
another,0,0
uh,0,0
case,0,0
another,0,0
missing,0,0
Richmond,0,0
Virginia,0,0
girl,0,0
Monica,0,1
Sharp,0,1
last,0,1
seen,0,1
leaving,0,1
her,0,1
house,0,1
to,0,1
walk,0,1
her,0,1
dog,0,1
at,0,1
around,0,1
ten,0,1
thirty,0,1
am,0,1
on,0,1
September,0,1
eighteenth,0,1
/.,0,1
Her,0,2
mother,0,2
filed,0,2
a,0,2
missing,0,2
persons,0,2
report,0,2
later,0,2
that,0,2
day,0,2
/.,0,3
Monica,0,4
's,0,4
family,0,4
and,0,4
the,0,4
police,0,4
believe,0,4
that,0,4
she,0,4
's,0,4
with,0,5
fifty,0,5
seven,0,5
year,0,5
old,0,5
Jeffrey,0,5
Nichols,0,5
but,0,5
left,0,5
with,0,5
him,0,5
voluntarily,0,5
after,0,5
meeting,0,5
him,0,5
on,0,5
the,0,5
internet,0,5
/.,0,5
Monica,0,6
has,0,6
a,0,6
personal,0,6
webpage,0,6
appears,0,6
to,0,6
have,0,6
last,0,6
logged,0,6
on,0,7
to,0,7
it,0,7
two,0,7
days,0,7
after,0,7
she,0,7
went,0,7
missing,0,7
/.,0,7
Joining,0,8
me,0,8
now,0,8
on,0,8
the,0,8
phone,0,8
is,0,8
Linda,ENTITY,8
Sharp,ENTITY,8
Monica,0,8
's,0,9
mother,0,9
/.,0,9
Uh,0,10
Ms.,ENTITY,10
sharpe,ENTITY,10
I,0,10
say,0,10
the,0,10
same,0,10
thing,0,10
to,0,10
you,ENTITY,10
/.,0,11
uh,0,12
I,0,12
know,0,12
this,0,12
is,0,12
a,0,12
very,0,12
tough,0,12
time,0,12
for,0,12
you,ENTITY,13
/.,0,13
so,0,14
I,0,14
thank,0,14
you,ENTITY,14
for,0,14
taking,0,14
the,0,14
time,0,14
/.,0,14
Um,0,15
tell,0,15
us,0,15
what,0,15
you,ENTITY,15
know,0,15
uh,0,15
about,0,15
this,0,15
gentleman,0,15
who,0,16
you,ENTITY,16
think,0,16
that,0,16
uh,0,16
your,ENTITY,16
daughter,0,16
is,0,16
with,0,16
/.,0,16
Really,0,17
we,0,17
do,0,17
n't,0,17
really,0,17
know,0,17
anything,0,17
about,0,17
him,0,17
/.,0,17
We,0,18
just,0,18
know,0,18
that,0,18
he,0,18
's,0,18
fifty,0,18
seven,0,18
/.,0,18
apparently,0,19
he,0,19
had,0,19
an,0,19
Illinois,0,19
driver,0,19
's,0,19
license,0,19
but,0,19
does,0,19
not,0,20
necessarily,0,20
reside,0,20
there,0,20
/.,0,20
Um,0,21
and,0,21
we,0,21
do,0,21
n't,0,21
know,0,21
anything,0,21
about,0,21
him,0,21
/.,0,21
Um,0,22
why,0,22
are,0,22
the,0,22
