token,label,_id,sentence
Ishmael,ENTITY,Q560307_1,0
Scott,ENTITY,Q560307_2,0
Reed,ENTITY,Q560307_99,0
(,-,-,0
born,-,-,0
February,-,-,0
22,-,-,0
",",ENTITY,Q560307_355,0
1938,-,-,0
),-,-,0
is,REL,Q560307_10,0
an,-,-,0
American,-,-,0
poet,EVENT,Q560307_11,0
",",ENTITY,Q560307_444,0
novelist,EVENT,Q560307_12,0
",",-,-,0
essayist,EVENT,Q560307_13,0
",",-,-,0
songwriter,EVENT,Q560307_14,0
",",-,-,0
playwright,EVENT,Q560307_15,0
",",-,-,0
editor,EVENT,Q560307_16,0
and,ENTITY,Q560307_94,0
publisher,EVENT,Q560307_17,0
known,-,-,0
for,-,-,0
his,ENTITY,Q560307_66,0
satirical,-,-,0
works,-,-,0
challenging,-,-,0
American,-,-,0
political,-,-,0
culture,-,-,0
.,-,-,0
Perhaps,-,-,1
his,ENTITY,Q560307_84,1
best,-,-,1
-,-,-,1
known,-,-,1
work,-,-,1
is,-,-,1
Mumbo,-,-,1
Jumbo,-,-,1
(,-,-,1
1972,-,-,1
),-,-,1
",",-,-,1
a,-,-,1
sprawling,-,-,1
and,ENTITY,Q560307_100,1
unorthodox,-,-,1
novel,-,-,1
set,-,-,1
in,ENTITY,Q560307_110,1
1920s,-,-,1
New,ENTITY,Q560307_351,1
York,-,-,1
.,-,-,1
Reed,ENTITY,Q560307_738,2
's,ENTITY,Q560307_18,2
work,-,-,2
has,-,-,2
often,-,-,2
sought,-,-,2
to,-,-,2
represent,-,-,2
neglected,-,-,2
African,-,-,2
and,-,-,2
African,-,-,2
-,-,-,2
American,-,-,2
perspectives,-,-,2
;,-,-,2
his,-,-,2
energy,-,-,2
and,-,-,2
advocacy,-,-,2
have,-,-,2
centered,-,-,2
more,-,-,2
broadly,-,-,2
on,-,-,2
neglected,-,-,2
peoples,-,-,2
and,-,-,2
perspectives,-,-,2
",",-,-,2
irrespective,-,-,2
of,ENTITY,Q560307_323,2
their,-,-,2
cultural,-,-,2
origins,-,-,2
.,-,-,2
Reed,-,-,3
was,-,-,3
born,EVENT,Q560307_19,3
in,-,-,3
Chattanooga,-,-,3
",",-,-,3
Tennessee,-,-,3
.,-,-,3
His,ENTITY,Q560307_26,4
family,ENTITY,Q560307_21,4
moved,EVENT,Q560307_24,4
to,-,-,4
Buffalo,-,-,4
",",-,-,4
New,-,-,4
York,-,-,4
when,-,-,4
he,ENTITY,Q560307_28,4
was,-,-,4
a,-,-,4
child,-,-,4
",",-,-,4
during,-,-,4
the,ENTITY,Q560307_144,4
Great,-,-,4
Migration,-,-,4
.,-,-,4
After,-,-,5
attending,EVENT,Q560307_25,5
local,-,-,5
schools,-,-,5
",",-,-,5
Reed,-,-,5
attended,EVENT,Q560307_27,5
the,-,-,5
University,-,-,5
at,-,-,5
Buffalo,-,-,5
.,-,-,5
Reed,ENTITY,Q560307_30,6
withdrew,EVENT,Q560307_29,6
from,-,-,6
college,-,-,6
in,-,-,6
his,ENTITY,Q560307_595,6
junior,-,-,6
year,-,-,6
",",-,-,6
partly,-,-,6
for,-,-,6
financial,-,-,6
reasons,-,-,6
",",-,-,6
but,-,-,6
mainly,-,-,6
because,-,-,6
he,ENTITY,Q560307_754,6
felt,EVENT,Q560307_31,6
he,ENTITY,Q560307_33,6
needed,EVENT,Q560307_32,6
a,-,-,6
new,ENTITY,Q560307_285,6
atmosphere,-,-,6
to,-,-,6
support,-,-,6
his,ENTITY,Q560307_667,6
writing,-,-,6
and,-,-,6
music,-,-,6
.,-,-,6
He,ENTITY,Q560307_760,7
said,EVENT,Q560307_34,7
of,ENTITY,Q560307_342,7
this,ENTITY,Q560307_456,7
decision,-,-,7
:,ENTITY,Q560307_150,7
This,-,-,7
was,-,-,7
the,-,-,7
best,-,-,7
thing,-,-,7
that,-,-,7
could,-,-,7
have,-,-,7
happened,-,-,7
to,ENTITY,Q560307_83,7
me,-,-,7
at,-,-,7
the,-,-,7
time,-,-,7
because,-,-,7
I,-,-,7
was,-,-,7
able,-,-,7
to,-,-,7
continue,-,-,7
experimenting,-,-,7
along,-,-,7
the,-,-,7
lines,-,-,7
I,-,-,7
wanted,-,-,7
",",-,-,7
influenced,-,-,7
by,ENTITY,Q560307_746,7
West,-,-,8
and,-,-,8
others,-,-,8
.,-,-,8
I,-,-,9
did,-,-,9
n't,-,-,9
want,-,-,9
to,-,-,9
be,-,-,9
a,-,-,9
slave,-,-,9
to,-,-,9
somebody,-,-,9
else,-,-,9
's,-,-,9
reading,-,-,9
lists,-,-,9
.,-,-,9
I,-,-,10
kind,-,-,10
of,-,-,10
regret,-,-,10
the,-,-,10
decision,-,-,10
now,-,-,10
because,-,-,10
I,ENTITY,Q560307_36,10
've,-,-,10
gotten,-,-,10
some,-,-,10
of,-,-,10
the,-,-,10
most,ENTITY,Q560307_727,10
racist,-,-,10
and,-,-,10
horrible,-,-,10
things,-,-,10
said,-,-,10
to,-,-,10
me,ENTITY,Q560307_40,10
because,-,-,10
of,-,-,10
this,-,-,10
.,-,-,10
In,-,-,10
1995,-,-,10
",",-,-,10
the,-,-,10
college,-,-,10
awarded,EVENT,Q560307_35,10
him,ENTITY,Q560307_38,10
an,-,-,10
honorary,-,-,10
doctorate,-,-,10
.,-,-,10
Speaking,EVENT,Q560307_37,11
about,-,-,11
his,-,-,11
influences,EVENT,Q560307_41,11
",",-,-,11
Reed,ENTITY,Q560307_42,11
has,-,-,11
said,EVENT,Q560307_39,11
:,-,-,11
I,ENTITY,Q560307_45,11
've,-,-,11
probably,-,-,11
been,-,-,11
more,-,-,11
influenced,-,-,11
by,-,-,11
poets,-,-,11
than,-,-,11
by,ENTITY,Q560307_589,11
novelists,-,-,11
—,-,-,11
the,-,-,11
Harlem,-,-,11
Renaissance,-,-,11
poets,-,-,11
",",-,-,11
the,-,-,11
Beat,-,-,11
poets,-,-,11
",",-,-,11
the,-,-,11
American,-,-,11
surrealist,-,-,11
Ted,-,-,11
Joans,-,-,11
.,-,-,11
Poets,-,-,12
have,-,-,12
to,-,-,12
be,-,-,12
more,-,-,12
attuned,-,-,12
to,-,-,12
originality,-,-,12
",",-,-,12
coming,-,-,12
up,-,-,12
with,-,-,12
lines,-,-,12
and,-,-,12
associations,-,-,12
the,-,-,12
ordinary,-,-,12
prose,-,-,12
writer,-,-,12
would,-,-,12
n't,-,-,12
think,-,-,12
of,-,-,12
.,-,-,12
Among,-,-,12
writers,-,-,12
from,-,-,12
the,-,-,12
Harlem,-,-,12
Renaissance,-,-,12
for,-,-,12
whose,-,-,12
work,-,-,12
Reed,ENTITY,Q560307_48,12
has,-,-,12
expressed,EVENT,Q560307_43,12
admiration,EVENT,Q560307_44,12
are,-,-,12
Langston,-,-,12
Hughes,-,-,12
",",-,-,12
Zora,-,-,12
Neale,-,-,12
Hurston,-,-,12
",",-,-,12
George,-,-,12
Schuyler,-,-,12
",",-,-,12
Bruce,-,-,12
Nugent,-,-,12
",",-,-,12
Countee,-,-,12
Cullen,-,-,12
",",-,-,12
and,-,-,12
Arna,-,-,12
Bontemps,-,-,12
.,-,-,12
In,-,-,13
1962,-,-,13
",",-,-,13
Reed,ENTITY,Q560307_52,13
